id,short_code,uuid,product,colorway,size,is_pre_produced,rfid
11168,2jrTdDTJ,01acf957-9797-48e7-b7c1-a3693d69f087,72,,M,0,
11281,jkcHHXDt,01b02f33-ab78-4d25-aa8d-d6990a744017,72,,M,0,
2784,NaMDXQcL,01b063d0-e5c6-435c-9b35-440d5fe871b3,23,,One size,0,
5063,UkHnmmJd,01b10d96-16b7-4b30-b067-a2b908f48347,22,,XS,0,
3872,4xVRTzRv,01b1d2c4-e37e-4def-91d9-fb300b6022b5,38,,M,0,
2908,q7ieZF9N,01b217fd-df1f-4004-9ef3-c64bbd08660d,23,,One size,0,
13253,qTsE6i9h,01b8d98f-b156-4e53-a3e7-74d7c2f40955,77,,XXS-XL,0,
10616,FJJxrTsz,01bc0c09-841c-4258-b2ae-ecb801dcea6e,72,,M,0,
11401,ekr4jkrN,01c005de-853a-4b69-a520-7621a17b884e,72,,M,0,
10500,EhJarETz,01c484b2-c008-4c32-9df8-15a27bc76f36,72,,M,0,
1818,6dtoeabV,01c5e37b-9034-47e7-bf5e-52be7dfffa47,4,,M,0,
9969,D7wLvHdp,01d44e7e-4631-4eae-832c-13acb084acde,72,,M,0,
1273,,01d4a332-b464-4640-9e5b-06efe031588c,4,,M,0,
13249,c6LUFqWF,01dbb679-8113-4de3-ba11-180571d97d58,76,,XXS-XL,0,
4156,Ejwt55wV,01e057a2-9b8e-42c5-aabf-6383b7101ddb,38,,M,0,
824,,01e14237-c27c-4149-ae87-47b637598bcd,4,,M,0,
12887,Uc8Pktx2,01e68c74-58fd-4655-b482-27266c56983d,74,,XXS-XL,0,
9590,hnrxTRKY,01e8c937-b7df-4f36-b814-2826b4560c99,72,,M,0,
1784,BO4AmDEb,01e9701d-cf56-4d4a-88e1-33d173464ca4,4,,M,0,
4355,8c33vLEN,01f0c5df-a210-4d9b-aecd-7cf894ce6fd3,38,,L,0,
10047,d4APR7yQ,01f1afd2-c1c7-4909-809b-0c48db03a44c,72,,M,0,
1828,Mm5F6uT3,01f4a05e-3aee-463e-a9c2-393997486d12,4,,M,0,
1835,Snsq4jVs,01f94001-08ec-45f4-bb1f-d3b465f318f8,4,,M,0,
3363,RVyt6jms,0212880c-cd61-4486-b219-6b2e79bc365a,54,,S,0,
3,xhMKWirr,02158f75-64ad-44a7-a422-f61c1d089ab3,3,,l,0,
3149,aXVr2FRm,021d2c50-87b8-49ee-ba13-3841d8fd8f3b,42,,M,0,
10400,4HoVCmeY,021f22e6-ef35-4d8f-9a04-5db12cc3c73f,72,,M,0,
10933,JDmuwZ6E,021fe80e-596d-4167-8632-2d0cf06b9ff4,72,,M,0,
12682,PedxF1eU,02207214-6a61-4f21-a48f-c881f6b254b9,72,,M,0,
1612,ry6VcnDo,02228e58-ed8a-426a-8e0c-b644bebd5152,4,,M,0,
13501,CzptSDPV,0224b794-006d-41b3-b86a-f40687e98888,103,,36,0,
12148,fXMP1u3D,0226040e-6e23-4d96-9583-1b27d3c05c91,72,,M,0,
5080,U3zBwyHb,023962f5-1920-4453-9f27-5de97035e66e,22,,S,0,
4263,SEgTsqq4,023c71ad-0f44-4af9-a8c0-d123f21b6a6c,38,,L,0,
1920,295idvdJ,023ed404-158b-43aa-915f-9d23d2f86eee,4,,M,0,
7003,MEzvr1io,024985a9-edbc-4530-a8dc-fd18cf5a21a3,33,,S,0,
12634,CyRQ7gbi,024f764a-2228-4df4-ba42-4a0a01fbbb1c,72,,M,0,
12973,uubsQkiy,02691f37-2199-4cff-91db-bbfe6125eac1,77,,XXS-XL,0,
10253,Ur1NxLfz,02760b17-1e8b-4d53-baa8-85b6d2f5a667,72,,M,0,
11988,VEhZk2UU,0277f744-2d22-44ff-8330-3326e4c5101c,72,,M,0,
3531,SFxepdMR,0279facf-4999-4a6f-993d-809b08639599,38,,S,0,
12063,UQuFBy9t,027a25dd-fbf2-486a-8353-d5edefacdbed,72,,M,0,
11755,22E2mTBg,0286295d-07e8-410b-a51d-66e0525d7898,72,,M,0,
4483,wNXSZuyx,02a17969-9e5b-47ff-b370-bd41f55c2ca4,38,,L,0,
12234,hSHkpiEr,02a658b4-88f3-4849-9f66-f2c4f024ab1c,101,102,M,0,
12197,SAFxSLvk,02aae4d4-30b7-4cb1-bb3f-9cb89b9b9857,72,,M,0,
964,,02ad29fa-c527-492b-b619-43bcf12929f9,4,,M,0,
4260,gYkM8Fof,02bd6277-6e8a-4c09-8853-97d8e88f4792,38,,L,0,
