serial_no;sku_serial_no;sku;label;qr_code
7501;1411;men-t-shirt-sku4;circularity.id/kZ1FMSy1;https://circularity.id/pVrGPooQ
7502;1412;men-t-shirt-sku4;circularity.id/AH4BpoiJ;https://circularity.id/ajSd1ybV
7503;1413;men-t-shirt-sku4;circularity.id/2Xe1irCu;https://circularity.id/DkKfjJJw
7504;1414;men-t-shirt-sku4;circularity.id/EkBQek62;https://circularity.id/Znxz2EoQ
7505;1415;men-t-shirt-sku4;circularity.id/iBagyPwH;https://circularity.id/kksp9jNn
7506;1416;men-t-shirt-sku4;circularity.id/p1xVbFMQ;https://circularity.id/pGsUZc2n
7507;1417;men-t-shirt-sku4;circularity.id/wuzrPVoq;https://circularity.id/oyUwPrL1
7508;1418;men-t-shirt-sku4;circularity.id/CMNJQj7Y;https://circularity.id/jDtKdmv7
7509;1419;men-t-shirt-sku4;circularity.id/iQ6omj2H;https://circularity.id/sxfwtxxG
7510;1420;men-t-shirt-sku4;circularity.id/JCPyA7MS;https://circularity.id/kmMgVpwM
7511;1421;men-t-shirt-sku4;circularity.id/7qBpzfx8;https://circularity.id/nLcDsCpN
7512;1422;men-t-shirt-sku4;circularity.id/Gqr9PbNB;https://circularity.id/63aBqDgp
7513;1423;men-t-shirt-sku4;circularity.id/JMw4c8cs;https://circularity.id/j6uQqtnt
7514;1424;men-t-shirt-sku4;circularity.id/nkNJtb5b;https://circularity.id/EMF5yyWG
7515;1425;men-t-shirt-sku4;circularity.id/wLYt4rJi;https://circularity.id/cEXFUBNb
7516;1426;men-t-shirt-sku4;circularity.id/qKk47eiY;https://circularity.id/czmcBjda
7517;1427;men-t-shirt-sku4;circularity.id/26WqZsXp;https://circularity.id/pt6niJRp
7518;1428;men-t-shirt-sku4;circularity.id/RwWo8JDy;https://circularity.id/YS4G81Vw
7519;1429;men-t-shirt-sku4;circularity.id/nQih1cEV;https://circularity.id/R8vDRNUY
7520;1430;men-t-shirt-sku4;circularity.id/PK94CJ2H;https://circularity.id/R8N5Zdov
7521;1431;men-t-shirt-sku4;circularity.id/uTYHtRX9;https://circularity.id/7dq65muj
7522;1432;men-t-shirt-sku4;circularity.id/18MiuNUP;https://circularity.id/ZehZxtyy
7523;1433;men-t-shirt-sku4;circularity.id/e3bFyYAD;https://circularity.id/JsYEBe9R
