serial_no;sku_serial_no;sku;label;qr_code
3127;502;women-top-sku2;circularity.id/NZ6bjpMW;https://circularity.id/FxpvULLY
3128;503;women-top-sku2;circularity.id/cwVx8Byp;https://circularity.id/yjpFqWjM
3129;504;women-top-sku2;circularity.id/aK8w7qWZ;https://circularity.id/DZxYBGBv
3130;505;women-top-sku2;circularity.id/xDqQukQx;https://circularity.id/PHpx1eRy
3131;506;women-top-sku2;circularity.id/5dKsq5MA;https://circularity.id/CVH62mMW
3132;507;women-top-sku2;circularity.id/hybDQXwD;https://circularity.id/NaNgrFFz
3133;508;women-top-sku2;circularity.id/ZpuN7G4G;https://circularity.id/oikMeXLR
3134;509;women-top-sku2;circularity.id/GFErvTpL;https://circularity.id/YFACiwxH
3135;510;women-top-sku2;circularity.id/qncH6jkP;https://circularity.id/4hhxrhzg
3136;511;women-top-sku2;circularity.id/K2WBruKM;https://circularity.id/u7iajk7f
3137;512;women-top-sku2;circularity.id/DCuUPrNE;https://circularity.id/SNbNMZN6
3138;513;women-top-sku2;circularity.id/9aHbEdtm;https://circularity.id/TTEFEetn
3139;514;women-top-sku2;circularity.id/68Sgr2s9;https://circularity.id/iBwhz7iD
3140;515;women-top-sku2;circularity.id/2LDLvXRj;https://circularity.id/KBJ23Jh1
3141;516;women-top-sku2;circularity.id/83x2GD2K;https://circularity.id/5C3oT515
3142;517;women-top-sku2;circularity.id/rkrv8Gzr;https://circularity.id/hnuU6gEz
3143;518;women-top-sku2;circularity.id/EbHht97d;https://circularity.id/64KWp5bz
3144;519;women-top-sku2;circularity.id/TgyFD726;https://circularity.id/STen3VKQ
3145;520;women-top-sku2;circularity.id/xCdnAdhG;https://circularity.id/aNetf9zW
3146;521;women-top-sku2;circularity.id/vVqJrb11;https://circularity.id/a2CVfHPA
3147;522;women-top-sku2;circularity.id/rmCx5Tzb;https://circularity.id/U7UCPwdn
3148;523;women-top-sku2;circularity.id/WBSbN72K;https://circularity.id/YFsnrugn
3149;524;women-top-sku2;circularity.id/RgZ4ttEe;https://circularity.id/F4tVst6d
3150;525;women-top-sku2;circularity.id/udm7WJFE;https://circularity.id/NWZAD9HY
3151;526;women-top-sku2;circularity.id/Wu6SzvV1;https://circularity.id/rXkx4tNt
3152;527;women-top-sku2;circularity.id/ZSyeLgVK;https://circularity.id/6zxTd5U6
3153;528;women-top-sku2;circularity.id/UDzTdnbw;https://circularity.id/D7NaJpDi
3154;529;women-top-sku2;circularity.id/FFht7HrJ;https://circularity.id/RLyDmu2i
3155;530;women-top-sku2;circularity.id/mj73A715;https://circularity.id/w235yzPM
3156;531;women-top-sku2;circularity.id/cupMgLzz;https://circularity.id/zVTMw1ga
3157;532;women-top-sku2;circularity.id/sk4DqwZk;https://circularity.id/NBeYBUg1
3158;533;women-top-sku2;circularity.id/to8dK4Y6;https://circularity.id/yoX6F4mm
3159;534;women-top-sku2;circularity.id/dGt7pwsN;https://circularity.id/d3hCXnX5
3160;535;women-top-sku2;circularity.id/eLRY8PNA;https://circularity.id/sCEot7Zj
3161;536;women-top-sku2;circularity.id/VCodmvwc;https://circularity.id/wDUxMb2Q
3162;537;women-top-sku2;circularity.id/DgmeGnbp;https://circularity.id/VEScue4k
3163;538;women-top-sku2;circularity.id/7FjPbehM;https://circularity.id/FvWoVziM
3164;539;women-top-sku2;circularity.id/V3ATE6Sr;https://circularity.id/Jdr5L2p1
3165;540;women-top-sku2;circularity.id/KxM8TEzm;https://circularity.id/iFY5Srok
3166;541;women-top-sku2;circularity.id/94fgWnNK;https://circularity.id/HoATQWyh
3167;542;women-top-sku2;circularity.id/6RUntKsz;https://circularity.id/ygeu5Zfp
3168;543;women-top-sku2;circularity.id/YEQDmS2e;https://circularity.id/r25uNrmF
3169;544;women-top-sku2;circularity.id/tuqEEhrX;https://circularity.id/q6tMZ61b
3170;545;women-top-sku2;circularity.id/8VVbGota;https://circularity.id/8uU8D82i
