serial_no;sku_serial_no;sku;label;qr_code
7771;1;men-t-shirt-sku5;circularity.id/E8veDe67;https://circularity.id/2AmatYWx
7772;2;men-t-shirt-sku5;circularity.id/35wMghep;https://circularity.id/ozK7Bejx
7773;3;men-t-shirt-sku5;circularity.id/8eB3uVKj;https://circularity.id/56VbnGtj
7774;4;men-t-shirt-sku5;circularity.id/ziP86CGq;https://circularity.id/ABA2WZFR
7775;5;men-t-shirt-sku5;circularity.id/wnt8d3fz;https://circularity.id/CZxA6Znj
7776;6;men-t-shirt-sku5;circularity.id/7r7TLbG8;https://circularity.id/5hvFkEW1
7777;7;men-t-shirt-sku5;circularity.id/pJBetwfZ;https://circularity.id/4zmqwhCF
7778;8;men-t-shirt-sku5;circularity.id/wqZWVAE1;https://circularity.id/rfgBRcrZ
7779;9;men-t-shirt-sku5;circularity.id/nnGeLpkx;https://circularity.id/VugySrgu
7780;10;men-t-shirt-sku5;circularity.id/LwqtQRVa;https://circularity.id/h8RjWZzu
7781;11;men-t-shirt-sku5;circularity.id/KRCeY8xf;https://circularity.id/PKXNNjs3
7782;12;men-t-shirt-sku5;circularity.id/pQ34K944;https://circularity.id/dUcgYp3p
7783;13;men-t-shirt-sku5;circularity.id/c9zqgyEg;https://circularity.id/oi8V8M53
7784;14;men-t-shirt-sku5;circularity.id/8q2bP7AN;https://circularity.id/dC6ADz1m
7785;15;men-t-shirt-sku5;circularity.id/uUSU1TXA;https://circularity.id/Dqwkz8xz
7786;16;men-t-shirt-sku5;circularity.id/gZBzRmha;https://circularity.id/39NhCUta
7787;17;men-t-shirt-sku5;circularity.id/YsYXk1nm;https://circularity.id/8VJXMRm7
7788;18;men-t-shirt-sku5;circularity.id/poApt5PQ;https://circularity.id/3WQ8h46w
7789;19;men-t-shirt-sku5;circularity.id/xXcwbMeB;https://circularity.id/TdrPpsKV
7790;20;men-t-shirt-sku5;circularity.id/ox6kKEc6;https://circularity.id/uhQUkZuU
7791;21;men-t-shirt-sku5;circularity.id/ywXDRm6V;https://circularity.id/LFoGdkyo
7792;22;men-t-shirt-sku5;circularity.id/mFCbVLWJ;https://circularity.id/daupFQfy
7793;23;men-t-shirt-sku5;circularity.id/RVATJoBN;https://circularity.id/x853mpUo
7794;24;men-t-shirt-sku5;circularity.id/UamA1RXQ;https://circularity.id/95oY4uyk
7795;25;men-t-shirt-sku5;circularity.id/Rhrz3Add;https://circularity.id/1mb9VyxG
7796;26;men-t-shirt-sku5;circularity.id/Lc76b96A;https://circularity.id/RMRP1ABg
7797;27;men-t-shirt-sku5;circularity.id/BpXdfVPv;https://circularity.id/T9krQvwP
7798;28;men-t-shirt-sku5;circularity.id/d1v2v1gy;https://circularity.id/vYUkLgMa
7799;29;men-t-shirt-sku5;circularity.id/MrXkbSKG;https://circularity.id/aK3qmKGz
7800;30;men-t-shirt-sku5;circularity.id/oBFeAZ5h;https://circularity.id/Xz4CHLYu
7801;31;men-t-shirt-sku5;circularity.id/1r5ZPUdn;https://circularity.id/XLTooVQ5
7802;32;men-t-shirt-sku5;circularity.id/BLryQ792;https://circularity.id/Wg67Hsg8
7803;33;men-t-shirt-sku5;circularity.id/4hau5iDS;https://circularity.id/sKyTLTdE
7804;34;men-t-shirt-sku5;circularity.id/wFGAu4Tz;https://circularity.id/DP4PWhV9
7805;35;men-t-shirt-sku5;circularity.id/vnwEKLzZ;https://circularity.id/vGVUygBB
7806;36;men-t-shirt-sku5;circularity.id/MBJk1BBC;https://circularity.id/BMT3BYUx
7807;37;men-t-shirt-sku5;circularity.id/LBe3nuyL;https://circularity.id/62byfo4K
7808;38;men-t-shirt-sku5;circularity.id/8EbsRCX1;https://circularity.id/REaM2XZ5
7809;39;men-t-shirt-sku5;circularity.id/PuCdrXwj;https://circularity.id/JkbZyHrB
7810;40;men-t-shirt-sku5;circularity.id/R8puWZx4;https://circularity.id/SoDB5G4J
7811;41;men-t-shirt-sku5;circularity.id/xM86BPZQ;https://circularity.id/PStTfj3e
7812;42;men-t-shirt-sku5;circularity.id/SkFWdEWF;https://circularity.id/rLxvrvjF
7813;43;men-t-shirt-sku5;circularity.id/eTNYJ1HQ;https://circularity.id/QNQgCff6
7814;44;men-t-shirt-sku5;circularity.id/q1ZYWygd;https://circularity.id/2Wm2f7M3
7815;45;men-t-shirt-sku5;circularity.id/CwV2BeDw;https://circularity.id/4GMaQmRm
7816;46;men-t-shirt-sku5;circularity.id/kS7aLWPE;https://circularity.id/2sWnvyhB
7817;47;men-t-shirt-sku5;circularity.id/MJdhCyKL;https://circularity.id/4dgufXEj
7818;48;men-t-shirt-sku5;circularity.id/WcFjKDGv;https://circularity.id/CDT8QTaz
7819;49;men-t-shirt-sku5;circularity.id/VTHJhX6x;https://circularity.id/9Kwj3Res
7820;50;men-t-shirt-sku5;circularity.id/CsounJsU;https://circularity.id/zEDxP19A
7821;51;men-t-shirt-sku5;circularity.id/VZBprxFH;https://circularity.id/RJdW5TWw
7822;52;men-t-shirt-sku5;circularity.id/KVZuE1vT;https://circularity.id/RWGsBpss
7823;53;men-t-shirt-sku5;circularity.id/RCwMzbdJ;https://circularity.id/VYNdjTHC
7824;54;men-t-shirt-sku5;circularity.id/64MekwGT;https://circularity.id/zCxypZV2
7825;55;men-t-shirt-sku5;circularity.id/iaJMgGQB;https://circularity.id/EHg7eKm3
7826;56;men-t-shirt-sku5;circularity.id/tapqC9Ns;https://circularity.id/MBUrthR9
7827;57;men-t-shirt-sku5;circularity.id/Jfg1TP7V;https://circularity.id/wPk2U3Yw
7828;58;men-t-shirt-sku5;circularity.id/7KA85tYB;https://circularity.id/ffcEyA2D
7829;59;men-t-shirt-sku5;circularity.id/u4Je4Rc5;https://circularity.id/EUayvggv
7830;60;men-t-shirt-sku5;circularity.id/ZHBvuL3j;https://circularity.id/GUwStXeL
7831;61;men-t-shirt-sku5;circularity.id/bZcAuHpZ;https://circularity.id/LXqhzHee
7832;62;men-t-shirt-sku5;circularity.id/XmeKDSKt;https://circularity.id/vTfHdANY
7833;63;men-t-shirt-sku5;circularity.id/vws6hD4a;https://circularity.id/3AfCLemT
7834;64;men-t-shirt-sku5;circularity.id/2YwH9mbd;https://circularity.id/kaDDGi6P
7835;65;men-t-shirt-sku5;circularity.id/jv79xk51;https://circularity.id/k3uir9yG
7836;66;men-t-shirt-sku5;circularity.id/5tKiNCCe;https://circularity.id/dD5LqQS4
7837;67;men-t-shirt-sku5;circularity.id/UecRorZg;https://circularity.id/crxB9b7a
7838;68;men-t-shirt-sku5;circularity.id/iFXbHV6u;https://circularity.id/PNE1SEWR
7839;69;men-t-shirt-sku5;circularity.id/M6nMQYCd;https://circularity.id/nF8afKVf
7840;70;men-t-shirt-sku5;circularity.id/1XRNefWr;https://circularity.id/JiVK2B4U
7841;71;men-t-shirt-sku5;circularity.id/rtEnAfv7;https://circularity.id/bKSMzjha
7842;72;men-t-shirt-sku5;circularity.id/ac1da4Nt;https://circularity.id/LS1RJNC5
7843;73;men-t-shirt-sku5;circularity.id/NArjxEaj;https://circularity.id/N9c5WbTU
7844;74;men-t-shirt-sku5;circularity.id/u7uxeX8R;https://circularity.id/gSMrjFuP
7845;75;men-t-shirt-sku5;circularity.id/dqc1egb3;https://circularity.id/LR38DP5Y
7846;76;men-t-shirt-sku5;circularity.id/TXCwtsUz;https://circularity.id/Rf3TpSuj
7847;77;men-t-shirt-sku5;circularity.id/8G2XbX4w;https://circularity.id/6EnTssmM
7848;78;men-t-shirt-sku5;circularity.id/uoxF3LNG;https://circularity.id/8o1fjZHK
7849;79;men-t-shirt-sku5;circularity.id/PpA1cGGe;https://circularity.id/NXD2Tgvi
7850;80;men-t-shirt-sku5;circularity.id/qNRuaD8p;https://circularity.id/3G1buxVq
7851;81;men-t-shirt-sku5;circularity.id/RFMYDxF7;https://circularity.id/cb4Q39rU
7852;82;men-t-shirt-sku5;circularity.id/GjicHv5M;https://circularity.id/TnYrNNm4
7853;83;men-t-shirt-sku5;circularity.id/K9ZwAGmv;https://circularity.id/A8f8o85P
7854;84;men-t-shirt-sku5;circularity.id/YnARdnXN;https://circularity.id/NSca5MN6
7855;85;men-t-shirt-sku5;circularity.id/tRoEAZb6;https://circularity.id/5ZBaAB1n
7856;86;men-t-shirt-sku5;circularity.id/pG9izWkY;https://circularity.id/udBxqABg
